scenario_id,mode,statuses,has_error,recovered,PASS
LIN-01,full,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_NEGATIVE,RELEVANT_NEGATIVE,DUPLICATE",False,False,PASS
LIN-02,full,"RELEVANT_REVEAL,IRRELEVANT,DUPLICATE,DUPLICATE,DUPLICATE",False,False,PASS
LIN-03,full,"RELEVANT_REVEAL,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,RELEVANT_REVEAL,IRRELEVANT,RELEVANT_REVEAL,DUPLICATE,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,True,PASS
LIN-04,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,IRRELEVANT,RELEVANT_REVEAL,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,True,PASS
LIN-05,full,"RELEVANT_REVEAL,RELEVANT_REVEAL,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
NET-01,full,"RELEVANT_REVEAL,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,RELEVANT_REVEAL,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE",True,True,PASS
NET-02,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,IRRELEVANT",True,False,FAIL
NET-03,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
NET-04,full,"RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,IRRELEVANT",True,False,FAIL
NET-05,full,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT,IRRELEVANT,DUPLICATE,RELEVANT_NEGATIVE",False,False,PASS
K8S-01,full,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_REVEAL,IRRELEVANT,DUPLICATE,IRRELEVANT,IRRELEVANT",False,False,PASS
K8S-02,full,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_NEGATIVE,DUPLICATE,IRRELEVANT",False,False,PASS
K8S-03,full,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
K8S-04,full,"IRRELEVANT,DUPLICATE,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
K8S-05,full,"IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
K8S-06,full,"IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE,IRRELEVANT,IRRELEVANT",False,False,PASS
K8S-07,full,"IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
K8S-08,full,"RELEVANT_NEGATIVE,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
CON-01,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
CON-02,full,"RELEVANT_REVEAL,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
CON-03,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
CON-04,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,RELEVANT_REVEAL,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,True,PASS
STO-01,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE",False,False,PASS
