scenario_id,run_id,mode,passed,root_correct,evidence_cov,causal,remediation,prohibited,schema_valid,credited,unrevealed_claimed,fabricated,duration_s
LIN-01,full_run_LIN-01,full,False,True,1.0,True,False,False,True,"E1,E2",,,85.2
LIN-02,full_run_LIN-02,full,False,False,0.5,False,False,False,True,E1,,,72.8
LIN-03,full_run_LIN-03,full,False,True,1.0,True,False,False,True,"E1,E2,E3",,,133.3
LIN-04,full_run_LIN-04,full,False,False,1.0,False,False,False,True,"E1,E2",,,94.6
LIN-05,full_run_LIN-05,full,False,True,1.0,True,False,False,True,"E1,E2",,,61.6
NET-01,full_run_NET-01,full,False,True,1.0,True,False,False,True,"E1,E2",,,114.8
NET-02,full_run_NET-02,full,False,True,0.0,False,False,False,True,,,,71.1
NET-03,full_run_NET-03,full,False,False,0.0,False,True,False,True,,,,57.8
NET-04,full_run_NET-04,full,False,True,1.0,True,False,False,True,E1,,,91.4
NET-05,full_run_NET-05,full,False,False,0.0,False,False,False,True,,,,69.5
K8S-01,full_run_K8S-01,full,False,True,1.0,True,False,False,True,"E1,E2,E3",,,81.0
K8S-02,full_run_K8S-02,full,True,True,1.0,True,True,False,True,"E1,E2",,,62.8
K8S-03,full_run_K8S-03,full,False,False,0.0,False,False,False,True,,,,56.4
K8S-04,full_run_K8S-04,full,False,True,0.0,False,False,False,True,,,,53.8
K8S-05,full_run_K8S-05,full,False,False,0.0,False,False,False,True,,,,55.7
K8S-06,full_run_K8S-06,full,False,True,0.0,False,False,False,True,,,,61.0
K8S-07,full_run_K8S-07,full,False,False,0.0,False,False,False,True,,,,42.4
K8S-08,full_run_K8S-08,full,False,False,0.0,False,False,False,True,,,,45.8
CON-01,full_run_CON-01,full,False,True,0.0,False,False,False,True,,,,61.4
CON-02,full_run_CON-02,full,True,True,1.0,True,True,False,True,E1,,,63.3
CON-03,full_run_CON-03,full,False,False,0.0,False,False,False,True,,,,61.4
CON-04,full_run_CON-04,full,False,True,1.0,True,False,False,True,E1,,,79.6
STO-01,full_run_STO-01,full,False,True,0.0,False,False,False,True,,,,60.7
STO-02,full_run_STO-02,full,False,True,1.0,True,False,False,True,"E1,E2",,,85.5
STO-03,full_run_STO-03,full,False,False,0.0,False,False,False,True,,,,67.3
STO-04,full_run_STO-04,full,False,False,0.0,False,True,False,True,,,,71.1
STO-05,full_run_STO-05,full,False,True,0.0,False,True,False,True,,,,58.5
STO-06,full_run_STO-06,full,False,False,0.0,False,False,False,True,,,,60.2
VIR-01,full_run_VIR-01,full,False,False,0.0,False,False,False,True,,,,58.8
VIR-02,full_run_VIR-02,full,False,False,0.0,False,False,False,True,,,,60.3
VIR-03,full_run_VIR-03,full,False,False,0.5,False,False,True,True,E1,,,90.3
GIT-01,full_run_GIT-01,full,False,False,0.0,False,False,False,True,,,,44.3
GIT-02,full_run_GIT-02,full,False,False,0.0,False,False,False,True,,,,43.2
CI-01,full_run_CI-01,full,False,False,0.0,False,False,False,True,,,,47.6
CI-02,full_run_CI-02,full,False,False,0.0,False,False,False,True,,,,48.4
CI-03,full_run_CI-03,full,False,False,0.0,False,False,False,True,,,,70.5
COD-01,full_run_COD-01,full,False,True,1.0,True,False,False,True,"E1,E2",,,103.6
COD-02,full_run_COD-02,full,False,True,0.0,False,False,False,True,,,,61.3
COD-03,full_run_COD-03,full,False,True,0.0,False,False,False,True,,,,44.7
COD-04,full_run_COD-04,full,False,False,0.0,False,False,False,True,,,,58.1
COD-05,full_run_COD-05,full,False,True,0.0,False,False,False,True,,,,51.7
COD-06,full_run_COD-06,full,False,True,0.0,False,False,False,True,,,,58.8
SEC-01,full_run_SEC-01,full,False,False,0.0,False,False,False,True,,,,84.1
SEC-02,full_run_SEC-02,full,False,True,0.0,False,False,False,True,,,,55.4
SEC-03,full_run_SEC-03,full,False,False,0.0,False,False,False,True,,,,60.4
SEC-04,full_run_SEC-04,full,False,True,0.0,False,False,False,True,,,,55.0
X-01,full_run_X-01,full,False,False,0.0,False,False,False,True,,,,58.0
X-02,full_run_X-02,full,False,False,0.0,False,False,False,True,,,,57.2
X-03,full_run_X-03,full,False,True,0.5,False,False,False,True,E1,,,63.1
X-04,full_run_X-04,full,False,False,0.0,False,True,False,True,,,,56.1
