id,passed,final_nonempty,root_cause,causal,evidence,remediation,prohibited,precision,recall,f1,irrelevant,dup,noninf,json_ok,json_total,unsafe,hall,final
LIN-01,False,True,False,True,0.5,True,False,1.0,0.5,0.67,0,0,3,5,5,0,0,"DIAGNOSIS: Port 80 is already occupied by another process, preventing nginx from binding to 0.0.0.0:80.
EVIDENCE: journalctl_read({""service"": ""nginx""}) -> ""nginx: [emerg] bind() to"
LIN-02,False,True,False,True,1.0,True,False,1.0,1.0,1.0,0,0,7,9,9,0,0,"DIAGNOSIS: /var partition is 100% full, with /var/log identified as the primary space consumer (48G).
EVIDENCE: shell_readonly(""df -h"") reported /var at 100% usage; shell_readonly("
LIN-03,False,True,False,False,0.0,True,True,1.0,0.0,0.0,0,0,3,3,3,0,0,"DIAGNOSIS: Inability to diagnose due to total lack of system telemetry and access permissions.
EVIDENCE: All diagnostic commands (crontab -l, systemctl status cron/crond, ls /etc/c"
LIN-04,False,True,True,True,1.0,False,False,1.0,1.0,1.0,0,0,2,4,4,0,0,"The shell tools don't have data for those commands, but the two key pieces of evidence are already conclusive. Here is my diagnosis.

## Diagnosis: App is in an OOM-kill restart lo"
LIN-05,False,True,False,False,0.0,True,True,1.0,0.0,0.0,0,0,4,4,4,0,0,"DIAGNOSIS: Unable to diagnose; all diagnostic commands failed to return data.
EVIDENCE: All four `shell_readonly` invocations (systemctl --failed, systemctl list-units, ls /etc/sys"
NET-01,True,True,True,True,1.0,True,False,1.0,1.0,1.0,0,0,6,8,8,0,0,"DIAGNOSIS: The local DNS resolver (10.0.0.53) is returning NXDOMAIN for api.internal.example.com, indicating the record is missing from the authoritative internal DNS zone or the l"
NET-02,False,True,True,True,0.33,True,True,1.0,0.33,0.5,0,0,4,4,4,0,0,"DIAGNOSIS: TLS certificate expiration
EVIDENCE: User reported error ""certificate expired""; all diagnostic commands (date, ss, find) returned ""no data"" errors, preventing verificati"
NET-03,False,True,True,True,0.5,True,True,1.0,0.0,0.0,0,0,6,6,6,0,0,"DIAGNOSIS: Network egress or DNS resolution failure preventing the client from establishing a TCP connection to the remote host.
EVIDENCE: All diagnostic tools (dns_lookup, http_ge"
NET-04,True,True,True,True,1.0,True,False,1.0,0.67,0.8,0,0,4,5,5,0,0,"DIAGNOSIS: Stale or incorrect A record for db.internal in the internal DNS zone.
EVIDENCE: dns_lookup({""hostname"": ""db.internal""}) returned 10.9.9.9, which conflicts with the expec"
NET-05,False,True,False,True,1.0,False,True,1.0,0.0,0.0,0,0,1,1,1,0,0,"I don't have a target to investigate yet. To diagnose the 502, I need specifics. Please provide:

1. **The URL or hostname** of the reverse proxy returning the 502 (e.g., `https://"
