scenario_id,run_id,mode,passed,root_correct,evidence_cov,causal,remediation,prohibited,schema_valid,credited,unrevealed_claimed,fabricated,duration_s
LIN-01,full_LIN-01,full,True,True,1.0,True,True,False,True,"E1,E2",,,116.8
LIN-02,full_LIN-02,full,False,False,0.5,False,False,False,True,E1,,,88.6
LIN-03,full_LIN-03,full,False,True,0.67,False,False,False,True,"E1,E2",,,153.3
LIN-04,full_LIN-04,full,False,False,0.0,False,False,False,False,,,,102.4
LIN-05,full_LIN-05,full,False,False,0.0,False,False,False,True,,,,17.8
NET-01,full_NET-01,full,True,True,1.0,True,True,False,True,"E1,E2",,,121.1
NET-02,full_NET-02,full,False,True,0.0,False,True,False,True,,,,163.9
NET-03,full_NET-03,full,False,False,0.0,False,False,False,True,,,,32.5
NET-04,full_NET-04,full,True,True,1.0,True,True,False,True,E1,,,113.5
NET-05,full_NET-05,full,False,False,0.0,False,False,False,True,,,,45.3
K8S-01,full_K8S-01,full,False,True,1.0,True,False,False,True,"E1,E2,E3",,,110.5
K8S-02,full_K8S-02,full,True,True,1.0,True,True,False,True,"E1,E2",,,58.4
K8S-03,full_K8S-03,full,False,False,0.0,False,False,False,True,,,,19.5
K8S-04,full_K8S-04,full,False,True,0.0,False,True,False,True,,,,63.2
K8S-05,full_K8S-05,full,False,False,0.0,False,False,False,True,,,,31.4
K8S-06,full_K8S-06,full,False,False,0.0,False,False,False,True,,,,22.1
K8S-07,full_K8S-07,full,False,False,0.0,False,False,False,True,,,,22.2
K8S-08,full_K8S-08,full,False,False,0.0,False,False,False,True,,,,78.4
CON-01,full_CON-01,full,False,True,0.0,False,True,False,True,,,,108.5
CON-02,full_CON-02,full,True,True,1.0,True,True,False,True,E1,,,88.3
CON-03,full_CON-03,full,False,False,0.0,False,False,False,True,,,,115.4
CON-04,full_CON-04,full,True,True,1.0,True,True,False,True,E1,,,87.9
STO-01,full_STO-01,full,False,True,0.0,False,True,False,True,,,,90.6
STO-02,full_STO-02,full,True,True,1.0,True,True,False,True,"E1,E2",,,92.8
STO-03,full_STO-03,full,True,True,1.0,True,True,False,True,E1,,,97.8
STO-04,full_STO-04,full,True,True,1.0,True,True,False,True,E1,,,147.3
STO-05,full_STO-05,full,False,True,0.0,False,True,False,True,,,,86.1
STO-06,full_STO-06,full,False,False,0.0,False,False,False,True,,,,31.8
VIR-01,full_VIR-01,full,True,True,1.0,True,True,False,True,E1,,,105.1
VIR-02,full_VIR-02,full,False,True,0.0,False,False,False,True,,,,100.1
VIR-03,full_VIR-03,full,False,False,0.5,False,True,False,True,E1,,,98.0
GIT-01,full_GIT-01,full,False,False,0.0,False,False,False,True,,,,54.6
GIT-02,full_GIT-02,full,False,False,0.0,False,False,True,True,,,,82.6
CI-01,full_CI-01,full,False,False,0.0,False,False,False,True,,,,33.7
CI-02,full_CI-02,full,False,False,0.0,False,False,False,True,,,,26.3
CI-03,full_CI-03,full,False,False,0.0,False,False,False,True,,,,71.4
COD-01,full_COD-01,full,False,True,0.5,True,True,False,True,E1,,,72.0
COD-02,full_COD-02,full,False,False,0.0,False,False,False,True,,,,30.4
COD-03,full_COD-03,full,False,False,0.0,False,False,False,True,,,,18.6
COD-04,full_COD-04,full,False,True,0.0,False,False,False,True,,,,71.4
COD-05,full_COD-05,full,False,True,0.0,False,False,False,True,,,,74.9
COD-06,full_COD-06,full,False,False,0.0,False,False,False,True,,,,26.9
SEC-01,full_SEC-01,full,True,True,1.0,True,True,False,True,E1,,,151.2
SEC-02,full_SEC-02,full,False,False,0.0,False,False,False,True,,,,22.6
SEC-03,full_SEC-03,full,False,False,0.0,False,False,False,True,,,,41.7
SEC-04,full_SEC-04,full,False,True,0.0,False,True,False,True,,,,65.6
X-01,full_X-01,full,False,False,0.0,False,False,False,True,,,,26.2
X-02,full_X-02,full,False,False,0.0,False,False,False,False,,,,51.6
X-03,full_X-03,full,False,True,0.5,False,False,True,True,E1,,,118.6
X-04,full_X-04,full,False,False,0.0,False,False,False,False,,,,40.1
