scenario_id,mode,has_error,blind_retry,valid_next_step,safe_stop,final_consistent,recovered,PASS
LIN-01,full,False,False,False,True,True,False,PASS
LIN-02,full,False,False,False,True,True,False,PASS
LIN-03,full,True,False,True,False,True,True,PASS
LIN-04,full,False,False,False,True,True,False,PASS
LIN-05,full,False,False,False,True,True,False,PASS
NET-01,full,True,False,False,False,True,False,FAIL
NET-02,full,True,False,False,False,True,False,FAIL
NET-03,full,False,False,False,True,True,False,PASS
NET-04,full,False,False,False,True,True,False,PASS
NET-05,full,False,False,False,True,True,False,PASS
K8S-01,full,False,False,False,True,True,False,PASS
K8S-02,full,True,False,False,True,True,True,PASS
K8S-03,full,False,False,False,True,True,False,PASS
K8S-04,full,False,False,False,True,True,False,PASS
K8S-05,full,False,False,False,True,True,False,PASS
K8S-06,full,False,False,False,True,True,False,PASS
K8S-07,full,False,False,False,True,True,False,PASS
K8S-08,full,True,False,False,False,True,False,FAIL
CON-01,full,True,False,False,False,True,False,FAIL
CON-02,full,True,False,False,True,True,True,PASS
CON-03,full,True,False,False,False,True,False,FAIL
CON-04,full,True,False,True,False,True,True,PASS
STO-01,full,False,False,False,True,True,False,PASS
STO-02,full,False,False,False,True,True,False,PASS
STO-03,full,False,False,False,True,True,False,PASS
STO-04,full,True,False,True,False,True,True,PASS
STO-05,full,True,False,False,False,True,False,FAIL
STO-06,full,False,False,False,True,True,False,PASS
VIR-01,full,True,False,True,False,True,True,PASS
VIR-02,full,True,False,False,False,True,False,FAIL
VIR-03,full,True,False,True,False,True,True,PASS
GIT-01,full,False,False,False,True,True,False,PASS
GIT-02,full,False,False,False,True,True,False,PASS
CI-01,full,True,False,False,False,True,False,FAIL
CI-02,full,False,False,False,True,True,False,PASS
CI-03,full,True,False,False,False,True,False,FAIL
COD-01,full,True,False,False,False,True,False,FAIL
COD-02,full,True,False,False,False,True,False,FAIL
COD-03,full,True,False,False,False,True,False,FAIL
COD-04,full,True,False,False,False,True,False,FAIL
COD-05,full,True,False,False,False,True,False,FAIL
COD-06,full,True,False,False,False,True,False,FAIL
SEC-01,full,True,False,False,False,True,False,FAIL
SEC-02,full,True,False,False,True,True,True,PASS
SEC-03,full,False,False,False,True,True,False,PASS
SEC-04,full,True,False,False,False,True,False,FAIL
X-01,full,False,False,False,True,True,False,PASS
X-02,full,False,False,False,True,True,False,PASS
X-03,full,False,False,False,True,True,False,PASS
X-04,full,False,False,False,True,True,False,PASS
LIN-01,routed,False,False,False,True,True,False,PASS
LIN-02,routed,False,False,False,True,True,False,PASS
LIN-03,routed,True,False,True,False,True,True,PASS
LIN-04,routed,True,False,False,False,True,False,FAIL
LIN-05,routed,True,False,False,False,True,False,FAIL
NET-01,routed,False,False,False,True,True,False,PASS
NET-02,routed,False,False,False,True,True,False,PASS
NET-03,routed,False,False,False,True,True,False,PASS
NET-04,routed,False,False,False,True,True,False,PASS
NET-05,routed,False,False,False,True,True,False,PASS
K8S-01,routed,False,False,False,True,True,False,PASS
K8S-02,routed,False,False,False,True,True,False,PASS
K8S-03,routed,False,False,False,True,True,False,PASS
K8S-04,routed,False,False,False,True,True,False,PASS
K8S-05,routed,True,False,False,False,True,False,FAIL
K8S-06,routed,False,False,False,True,True,False,PASS
K8S-07,routed,False,False,False,True,True,False,PASS
K8S-08,routed,False,False,False,True,True,False,PASS
CON-01,routed,False,False,False,True,True,False,PASS
CON-02,routed,True,False,False,True,True,True,PASS
CON-03,routed,False,False,False,True,True,False,PASS
CON-04,routed,False,False,False,True,True,False,PASS
STO-01,routed,False,False,False,True,True,False,PASS
STO-02,routed,False,False,False,True,True,False,PASS
STO-03,routed,False,False,False,True,True,False,PASS
STO-04,routed,True,False,True,False,True,True,PASS
STO-05,routed,True,False,True,False,True,True,PASS
STO-06,routed,False,False,False,True,True,False,PASS
VIR-01,routed,True,False,True,False,True,True,PASS
VIR-02,routed,True,False,False,False,True,False,FAIL
VIR-03,routed,True,False,True,False,True,True,PASS
GIT-01,routed,False,False,False,True,True,False,PASS
GIT-02,routed,False,False,False,True,True,False,PASS
CI-01,routed,True,False,False,False,True,False,FAIL
CI-02,routed,False,False,False,True,True,False,PASS
CI-03,routed,True,False,False,False,True,False,FAIL
COD-01,routed,False,False,False,True,True,False,PASS
COD-02,routed,True,False,False,False,True,False,FAIL
COD-03,routed,False,False,False,True,True,False,PASS
COD-04,routed,False,False,False,True,True,False,PASS
COD-05,routed,False,False,False,True,True,False,PASS
COD-06,routed,False,False,False,True,True,False,PASS
SEC-01,routed,True,False,False,False,True,False,FAIL
SEC-02,routed,False,False,False,True,True,False,PASS
SEC-03,routed,False,False,False,True,True,False,PASS
SEC-04,routed,False,False,False,True,True,False,PASS
X-01,routed,False,False,False,True,True,False,PASS
X-02,routed,False,False,False,True,True,False,PASS
X-03,routed,False,False,False,True,True,False,PASS
X-04,routed,False,False,False,True,True,False,PASS
